,timestamp0,state0,args0,timestamp1,state1,args1,timestamp2,state2,args2,timestamp3,state3,args3,timestamp4,state4,args4
0,0,init,-,0,init,-,0,init,-,0,init,-,0,init,-
1,0.0-1.0,Balance,state=starting,0.0-1.0,Balance,state=starting,0.0-1.0,Balance,state=starting,0.0-1.0,Balance,state=starting,0.0-1.0,Balance,state=starting
2,1.0-31.0,Solve,tasks_am=10,1.0-2.0,Balance,state=nothing_to_receive,1.0-2.0,Balance,state=nothing_to_receive,1.0-2.0,Balance,state=nothing_to_receive,1.0-2.0,Balance,state=nothing_to_receive
3,31.0-32.0,Balance,state=solved,2.0-2.1,Send,dest=0,2.0-2.1,Send,dest=0,2.0-2.1,Send,dest=0,2.0-2.1,Send,dest=0
4,32.0-32.1,Receive,get_request,2.1-3.1,Balance,state=sent_get_request,2.1-3.1,Balance,state=sent_get_request,2.1-3.1,Balance,state=sent_get_request,2.1-3.1,Balance,state=sent_get_request
5,32.1-33.1,Balance,state=received_get_request,3.1-33.1,Await for receive,-,3.1-4.1,Balance,state=nothing_to_receive,3.1-4.1,Balance,state=nothing_to_receive,3.1-4.1,Balance,state=nothing_to_receive
6,33.1-33.2,Send,dest=1,33.1-33.2,Receive,subproblems,4.1-5.1,Balance,state=sent_get_request,4.1-5.1,Balance,state=sent_get_request,4.1-5.1,Balance,state=sent_get_request
7,33.2-34.2,Balance,state=sent_subs,33.2-34.2,Balance,state=received_put_subs_and_rec,5.1-6.1,Balance,state=nothing_to_receive,5.1-35.3,Await for receive,-,5.1-6.1,Balance,state=nothing_to_receive
8,34.2-34.3,Receive,get_request,34.2-379.2,Solve,tasks_am=-1,6.1-7.1,Balance,state=sent_get_request,35.3-35.4,Receive,subproblems,6.1-7.1,Balance,state=sent_get_request
9,34.3-35.3,Balance,state=received_get_request,379.2-380.2,Balance,state=solved,7.1-37.5,Await for receive,-,35.4-36.4,Balance,state=received_put_subs_and_rec,7.1-8.1,Balance,state=nothing_to_receive
10,35.3-35.4,Send,dest=3,380.2-381.2,Balance,state=nothing_to_receive,37.5-37.6,Receive,subproblems,36.4-609.4,Solve,tasks_am=-1,8.1-9.1,Balance,state=sent_get_request
11,35.4-36.4,Balance,state=sent_subs,381.2-381.3,Send,dest=0,37.6-38.6,Balance,state=received_put_subs_and_rec,609.4-610.4,Balance,state=solved,9.1-39.7,Await for receive,-
12,36.4-36.5,Receive,get_request,381.3-382.3,Balance,state=sent_get_request,38.6-185.6,Solve,tasks_am=-1,610.4-611.4,Balance,state=nothing_to_receive,39.7-39.8,Receive,subproblems
13,36.5-37.5,Balance,state=received_get_request,382.3-383.3,Balance,state=nothing_to_receive,185.6-186.6,Balance,state=solved,611.4-611.5,Send,dest=0,39.8-40.8,Balance,state=received_put_subs_and_rec
14,37.5-37.6,Send,dest=2,383.3-384.3,Balance,state=sent_get_request,186.6-187.6,Balance,state=nothing_to_receive,611.5-612.5,Balance,state=sent_get_request,40.8-43.8,Solve,tasks_am=-1
15,37.6-38.6,Balance,state=sent_subs,384.3-385.3,Balance,state=nothing_to_receive,187.6-187.7,Send,dest=0,612.5-613.5,Balance,state=nothing_to_receive,43.8-44.8,Balance,state=solved
16,38.6-38.7,Receive,get_request,385.3-386.3,Balance,state=sent_get_request,187.7-188.7,Balance,state=sent_get_request,613.5-614.5,Balance,state=sent_get_request,44.8-45.8,Balance,state=nothing_to_receive
17,38.7-39.7,Balance,state=received_get_request,386.3-387.3,Balance,state=nothing_to_receive,188.7-188.8,Receive,subproblems,614.5-615.5,Balance,state=nothing_to_receive,45.8-45.9,Send,dest=0
18,39.7-39.8,Send,dest=4,387.3-388.3,Balance,state=sent_get_request,188.8-189.8,Balance,state=received_put_subs_and_rec,615.5-616.5,Balance,state=sent_get_request,45.9-46.9,Balance,state=sent_get_request
19,39.8-40.8,Balance,state=sent_subs,388.3-389.3,Balance,state=nothing_to_receive,189.8-252.8,Solve,tasks_am=-1,616.5-617.5,Balance,state=nothing_to_receive,46.9-190.9,Await for receive,-
20,40.8-187.6,Await for receive,-,389.3-390.3,Balance,state=sent_get_request,252.8-253.8,Balance,state=solved,617.5-618.5,Balance,state=sent_get_request,190.9-191.0,Receive,exit_command
21,187.6-187.7,Receive,get_request,390.3-391.3,Balance,state=nothing_to_receive,253.8-254.8,Balance,state=nothing_to_receive,618.5-619.5,Balance,state=nothing_to_receive,,,
22,187.7-188.7,Balance,state=received_get_request,391.3-392.3,Balance,state=sent_get_request,254.8-254.9,Send,dest=0,619.5-620.5,Balance,state=sent_get_request,,,
23,188.7-188.8,Send,dest=2,392.3-392.4,Receive,exit_command,254.9-255.9,Balance,state=sent_get_request,620.5-621.5,Balance,state=nothing_to_receive,,,
24,188.8-189.8,Balance,state=sent_subs,,,,255.9-256.0,Receive,exit_command,621.5-622.5,Balance,state=sent_get_request,,,
25,189.8-189.9,Receive,get_request,,,,,,,622.5-622.6,Receive,exit_command,,,
26,189.9-190.9,Balance,state=received_get_request,,,,,,,,,,,,
27,190.9-191.0,Send,dest=0,,,,,,,,,,,,
28,191.0-192.0,Balance,state=sent_exit,,,,,,,,,,,,
29,192.0-254.8,Await for receive,-,,,,,,,,,,,,
30,254.8-254.9,Receive,get_request,,,,,,,,,,,,
31,254.9-255.9,Balance,state=received_get_request,,,,,,,,,,,,
32,255.9-256.0,Send,dest=0,,,,,,,,,,,,
33,256.0-257.0,Balance,state=sent_exit,,,,,,,,,,,,
34,257.0-381.2,Await for receive,-,,,,,,,,,,,,
35,381.2-381.3,Receive,get_request,,,,,,,,,,,,
36,381.3-382.3,Balance,state=received_get_request,,,,,,,,,,,,
37,382.3-382.4,Send,dest=0,,,,,,,,,,,,
38,382.4-383.4,Balance,state=sent_exit,,,,,,,,,,,,
39,383.4-611.4,Await for receive,-,,,,,,,,,,,,
40,611.4-611.5,Receive,get_request,,,,,,,,,,,,
41,611.5-612.5,Balance,state=received_get_request,,,,,,,,,,,,
42,612.5-612.6,Send,dest=0,,,,,,,,,,,,
43,612.6-613.6,Balance,state=sent_exit,,,,,,,,,,,,
